name,shale_gr,shale_density,shale_neutron,shale_resistivity,sand_gr,notes
adickes_bettge1,,,,,,
arnold1,112,0.04,0.312,3,28.7,
arnold2,96.7,0.07,0.29,3.6,28.9,
bettge1,98,0.04,0.32,3,18,Resistivity values for shale is sketchy. Ask Daigle during OH
bettge2,110,0.04,0.3,3.6,,we don't know if there is clean sand. Ask Daigle during OH
bettge3,99,0.077,0.033,,,
bettge4,117,0.04,0.28,3.5,44,
bettge5,119,0.06,0.34,2.9,,
bettge6,,,,,,
brandt1,,,,,,
brandt2,,,,,,
brandt3,,,,,,
migura1,,,,,,
warwas1,111,0.07,0.31,2.9,44,
