Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8018.5,100.8054243,1.824199314,4.733654546,4.318126928,3.76838875,0.046693239,0.281020633
8019,102.2113514,1.275262578,4.51143302,4.231172643,3.679581058,0.046729552,0.284824451
8019.5,102.5796082,1.016560789,4.140922011,4.121954237,3.599975592,0.048550089,0.289532431
8020,101.9624539,1.067667717,3.927413527,4.009501382,3.532816404,0.051437728,0.294159607
8020.5,101.0594502,1.096857308,3.950219857,3.92164611,3.479093966,0.054481012,0.299045172
8021,101.2232006,1.080010077,4.062399384,3.904453739,3.439807904,0.056743824,0.301757554
8021.5,102.1669712,1.105514081,4.109666437,3.926248126,3.414680804,0.057286317,0.298581997
8022,102.246368,1.213189914,4.10332917,3.942870125,3.401103225,0.055322559,0.291320349
8022.5,101.3435128,1.429347023,4.121213672,3.910712348,3.396434614,0.051876097,0.284911433
8023,100.3940894,1.748778695,4.265148243,3.820293689,3.400304693,0.04916187,0.281436074
8023.5,100.0286107,2.078687117,4.582156553,3.703751522,3.415075141,0.049531816,0.282662227
8024,100.0656459,2.311179729,4.639387791,3.593354358,3.443403724,0.054439687,0.289869048
8024.5,100.7698692,2.338364158,4.127003582,3.519993079,3.486525332,0.062360925,0.300637383
8025,102.254522,2.092634212,3.759108148,3.514443846,3.537842041,0.068084215,0.31085632
8025.5,103.9052805,1.659548139,3.991346382,3.610278302,3.587991892,0.068007125,0.316112163
8026,103.801928,1.156807983,3.992076274,3.860584989,3.629585342,0.061195513,0.310728416
8026.5,99.17611568,0.596813407,3.917208575,4.271550817,3.675535337,0.047602697,0.290692933
8027,96.77050075,-0.117711794,5.79578162,4.474049124,3.749732244,0.033574589,0.268483787
8027.5,97.1539964,-1.08916908,6.155812961,4.486886118,3.869130224,0.024742933,0.253587252
8028,98.03823455,-2.4199598,5.708260386,4.476138442,4.003813887,0.023757251,0.24293694
8028.5,98.87718562,-4.211064236,5.204467475,4.33459751,4.103558983,0.032104988,0.234269493
8029,99.61116124,-6.558486576,4.654066329,4.076802706,4.113881262,0.046170134,0.246413856
