Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7951,109.0692108,5.208378725,3.862348749,4.094037331,3.49166859,0.064306146,0.295034695
7951.5,107.0619911,5.13517783,3.903377171,4.062422843,3.46836238,0.060445792,0.30196885
7952,104.9767257,5.235980917,4.272556046,3.995963834,3.425981329,0.055039734,0.306358217
7952.5,101.9854083,5.440727445,4.944336918,3.927147127,3.398120763,0.049134196,0.302641714
7953,98.55764206,5.673270586,5.873919147,3.879976351,3.418815106,0.043775403,0.280968549
7953.5,97.92046524,5.857463506,6.673775538,3.859316308,3.524399281,0.040358871,0.258665979
7954,100.8847837,5.917159375,6.649882973,3.867787789,3.734462093,0.041179253,0.264171452
7954.5,103.6709963,5.789954403,5.89598883,3.908655964,3.931960187,0.045178684,0.282778038
7955,104.4332877,5.51130375,5.263243272,3.986083354,3.995657004,0.049739675,0.289354075
7955.5,101.6936533,5.159112177,5.249453644,4.09954286,4.045500258,0.05437516,0.28668585
7956,97.78087106,4.809923024,5.485012222,4.210649949,4.070225211,0.059432461,0.282904826
7956.5,94.17056265,4.531895552,5.503226931,4.267397684,4.020479632,0.065260761,0.276015358
7957,91.91891297,4.390337651,5.752833124,4.24295292,3.919532635,0.071188541,0.262892332
7957.5,92.82330269,4.450554843,6.092199373,4.125937757,3.797032709,0.072028806,0.258186596
7958,97.37921275,4.777852651,6.172462337,3.950837111,3.680142785,0.070458461,0.269654978
7958.5,103.6799719,5.404350579,5.698990784,3.775735803,3.589061207,0.070237199,0.28172347
7959,109.5502373,6.157197545,4.959531612,3.645549694,3.510159085,0.072344064,0.290522193
7959.5,113.3126169,6.785369213,4.358632059,3.534331113,3.416530853,0.070549937,0.295160322
7960,115.0871454,7.05641011,3.892276957,3.413540869,3.307727581,0.060695645,0.298819294
7960.5,115.2798221,6.956502106,3.766142664,3.299672016,3.207751288,0.056362897,0.304682099
7961,113.7610498,6.61334853,3.867345916,3.209137184,3.130920954,0.05564146,0.310888611
7961.5,110.6498239,6.157032383,3.997319211,3.156610747,3.072645024,0.054552636,0.315250465
7962,108.2244734,5.72168185,4.100382335,3.144791281,3.026571629,0.053927398,0.317988729
7962.5,108.2311353,5.459984439,4.117453202,3.157316552,2.986968367,0.05486649,0.319736679
7963,109.1754034,5.529947035,4.038909432,3.17574662,2.952070931,0.056454869,0.320998001
7963.5,109.5613497,6.057925585,3.924922997,3.172003188,2.924170807,0.057849293,0.321698225
7964,110.4624548,6.914814047,3.823511032,3.117282729,2.901497117,0.059139108,0.321713565
7964.5,111.2875456,7.84800056,3.764107589,3.035649311,2.880805366,0.060273086,0.321906071
7965,112.1041326,8.604069407,3.772867758,2.97583497,2.858950523,0.056706145,0.322681228
7965.5,111.1641096,8.962314626,3.874902903,2.954519551,2.832918816,0.045689977,0.322018245
7966,109.92578,8.95863484,4.058598791,2.955336685,2.802317495,0.041557531,0.318116199
7966.5,109.1133505,8.750022748,4.231167115,2.960848539,2.770915995,0.043758905,0.313455921
7967,112.1661956,8.494185418,4.276374558,2.953667526,2.742714647,0.049238035,0.323154944
7967.5,112.3018528,8.332483754,4.081178012,2.918147323,2.720989378,0.055214505,0.333583955
7968,111.116678,8.286691642,3.623995238,2.8733994,2.705691851,0.059696468,0.33421967
7968.5,110.8124097,8.325457927,3.295035001,2.848384221,2.695662358,0.060832192,0.327978209
7969,111.1483585,8.41719086,3.247568553,2.837906582,2.689790813,0.05704594,0.324413585
7969.5,111.0756411,8.530298692,3.368636797,2.834329118,2.686997375,0.050353389,0.320157691
7970,110.6248776,8.633189674,3.56977098,2.830441901,2.686085874,0.045239411,0.314794514
7970.5,111.4976335,8.694272057,3.767158152,2.824410186,2.685646842,0.044561644,0.325509048
7971,114.7556232,8.688111211,3.858681053,2.819150697,2.68427061,0.047138625,0.333323257
7971.5,117.9842074,8.622110709,3.721544419,2.817726237,2.682477307,0.047005524,0.331805881
7972,119.4611222,8.514577642,3.45332607,2.823204032,2.684399427,0.048627972,0.327042627
7972.5,119.9394229,8.383826317,3.335457032,2.838613159,2.694591109,0.050159244,0.326671266
7973,120.3934955,8.248171047,3.396666842,2.865556524,2.717731798,0.048616289,0.330073353
7973.5,120.0804305,8.125796344,3.502899638,2.90456309,2.758010813,0.04136544,0.329775967
7974,116.8825035,8.027217887,3.636815248,2.956109082,2.811415558,0.035583797,0.319117209
7974.5,113.6215146,7.95113253,3.849345372,3.01732706,2.868426571,0.036269719,0.312858472
7975,112.0204964,7.895228348,4.049974042,3.081970499,2.918707399,0.04093713,0.312771983
