Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8013.5,106.8847442,-4.134244915,5.450304166,3.965744707,3.832380149,0.017311173,0.276814316
8014,104.9886499,-4.494297203,5.515386552,3.8812757,3.701439986,0.001416469,0.268379651
8014.5,100.3800472,-4.522129838,4.97063511,3.89028208,3.564391041,-0.025661166,0.274958704
8015,95.25511179,-4.311605589,4.869050161,3.969753071,3.464715942,-0.029611828,0.311023193
8015.5,99.07791557,-3.956587222,4.147557328,4.056131713,3.43717388,-0.015058908,0.352039817
8016,101.8796325,-3.550937506,3.99059122,4.097934485,3.474395994,0.012961198,0.381356731
8016.5,106.3921943,-3.188519211,4.609204851,4.106166502,3.547592608,0.038597323,0.402960206
8017,104.2794689,-2.95752039,5.87907935,4.105418962,3.627140233,0.047957255,0.385660829
8017.5,100.0164812,-2.870098371,6.035048538,4.118409898,3.683142233,0.04331006,0.335650947
8018,95.47314621,-2.884114945,5.503176853,4.132430201,3.718658796,0.030574361,0.303115643
8018.5,93.47587089,-2.956259308,5.140570339,4.10561208,3.757096068,0.029973441,0.291255097
8019,93.53700099,-3.043220653,4.685583815,4.017666224,3.808791561,0.039082481,0.291402746
8019.5,92.80038331,-3.101688174,4.424267257,3.925574903,3.883262229,0.059800203,0.293151957
8020,91.28215489,-3.088677718,4.631974634,3.899038394,3.982225262,0.079770268,0.292540384
8020.5,90.172259,-3.002584674,4.530067609,4.003090173,4.082173675,0.079847522,0.288630781
8021,91.467087,-2.92318696,4.585321121,4.211148234,4.152691719,0.069833725,0.280997282
8021.5,95.77857143,-2.939756384,5.314398093,4.412268929,4.166819713,0.063846016,0.271749312
8022,97.44519232,-3.141542506,6.098587874,4.573118093,4.170760094,0.059620189,0.263456881
8022.5,94.54536819,-3.585197478,6.24986784,4.69470935,4.222322419,0.056702736,0.255257758
8023,89.67486353,-4.229503009,6.040606103,4.837884523,4.313229209,0.055518706,0.247169847
8023.5,86.84455726,-5.014949192,5.946588732,5.017063303,4.429418392,0.059047014,0.240897373
8024,83.88697239,-5.881760417,5.98462269,5.038177835,4.555771741,0.068826492,0.238150949
8024.5,82.76142801,-6.740578675,5.971995177,5.020259127,4.675939589,0.071391596,0.239080048
8025,83.6857004,-7.445924426,5.764198031,5.025200108,4.780325852,0.062052304,0.240624056
