Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8075.5,115.3091262,-0.72540234,3.69199029,3.398547316,3.113789621,-999.25,0.319046349
8076,115.5282554,-0.83824717,3.759931058,3.59865031,3.174126979,-999.25,0.310988618
8076.5,114.47493,-0.901440371,4.062262853,3.614396208,3.247421836,-999.25,0.300660489
8077,113.9771049,-0.925032528,4.379891778,3.636241128,3.322880982,-999.25,0.291902021
8077.5,115.5230415,-0.919074227,4.434589838,3.705752453,3.386658778,-999.25,0.288090386
8078,118.4512061,-0.893616054,4.265331393,3.787068817,3.429053104,-999.25,0.289574465
8078.5,121.2615524,-0.858708593,4.174351321,3.841632317,3.454293791,-999.25,0.293078095
8079,122.4549288,-0.824402431,4.158822135,3.843195502,3.469470102,-999.25,0.295748829
8079.5,121.3086479,-0.800748154,4.246104775,3.833603119,3.481946844,-999.25,0.296738978
8080,118.931778,-0.797796348,4.372386156,3.867420688,3.498891785,-999.25,0.295481965
8080.5,116.6974052,-0.825597597,4.443465657,3.945915809,3.526890062,-999.25,0.291113278
8081,115.9565487,-0.894202488,4.446862047,4.047148329,3.572713828,-999.25,0.28691028
8081.5,116.9440947,-1.015915195,4.394322522,4.147417272,3.64368895,-999.25,0.284895295
8082,118.2748981,-1.235303173,4.349050174,4.220870657,3.748115586,-999.25,0.282687394
8082.5,118.437617,-1.621045463,4.399712264,4.299829512,3.895196164,-999.25,0.280538037
8083,116.7047851,-2.242400887,4.517327492,4.535175187,4.079541209,-999.25,0.279203491
8083.5,114.4874778,-3.165364913,4.622873091,4.757528697,4.277160332,-999.25,0.278387503
8084,112.155215,-4.315518401,4.743079927,4.89711247,4.458377991,-999.25,0.277669697
8084.5,108.1924781,-5.427786936,4.98976729,5.135527149,4.594149486,-999.25,0.274947363
8085,101.364489,-6.223489004,5.498466161,5.423798923,4.685757134,-999.25,0.2658869
8085.5,95.15754217,-6.423943093,6.093810604,5.43405444,4.748222042,-999.25,0.251098786
8086,95.97463768,-5.881871964,6.036669041,5.416539841,4.797471303,-999.25,0.240353241
8086.5,104.6481164,-5.316528284,5.389271498,5.448269721,4.839762625,-999.25,0.241288661
8087,113.3168897,-5.798076228,4.927898126,5.518970486,4.874490936,-999.25,0.252254094
8087.5,112.5791688,-8.206904472,5.134184151,5.600785005,4.900942161,-999.25,0.270009825
8088,103.6831099,-10.95647587,5.611308085,5.663795945,4.92376027,-999.25,0.292107165
8088.5,97.15483627,-11.07338071,5.509863044,5.679643579,4.996558293,-999.25,0.304073414
8089,102.2760753,-10.38056971,4.958876159,5.660077727,5.196907421,-999.25,0.287254579
8089.5,106.8188725,-14.35428956,4.762254031,5.647265848,5.500727442,-999.25,0.262190753
8090,85.07465696,-24.31454846,5.655431028,5.683456977,5.783845536,0.110466567,0.243237666
8090.5,61.63819816,-26.76246116,7.803103285,5.794273071,5.913177606,0.150243294,0.226176708
8091,48.20111549,-48.14773148,10.3849606,5.973553898,5.947753059,0.179990033,0.208431447
8091.5,37.39796787,-64.26372679,13.1663693,6.195526035,6.076078964,0.200645602,0.190382357
8092,32.5790637,-62.66190373,14.74448001,6.430244673,6.463928502,0.213148819,0.175538163
8092.5,33.02727408,-58.79415977,14.26510171,6.660199201,7.0056911,0.218449069,0.169192362
8093,36.28354888,-60.65341219,12.67849294,6.884795941,7.439416786,0.217779205,0.170711035
8093.5,39.88883797,-65.14714864,11.10491582,7.105246188,7.647693458,0.212680003,0.175875921
8094,41.42202804,-68.50845333,10.4538736,7.323513371,7.66453109,0.205005604,0.180035392
8094.5,40.3296639,-69.75054592,11.44512131,7.53684209,7.54463424,0.198168994,0.17923082
8095,38.6649045,-69.75615756,13.4719761,7.728617188,7.348897948,0.1949143,0.17401977
8095.5,30.49019918,-69.11949918,14.93529014,7.878537085,7.13402342,0.196985459,0.166514959
8096,7.964331051,-67.76779902,14.55496504,7.95878424,6.925314303,0.203085055,0.158830545
8096.5,-12.14766741,-65.53809328,12.93360408,7.907742182,6.728673205,0.205057274,0.153080686
8097,-10.12969578,-61.72136319,12.42788444,7.665670509,6.549003687,0.203965339,0.151425864
8097.5,33.73434639,-54.71565058,12.09182633,7.23598821,6.374555742,0.20265351,0.15642313
8098,69.47366469,-44.6210224,10.30858111,6.657289662,6.155419324,0.202204191,0.170549496
8098.5,60.2730119,-37.89499893,7.289903828,6.06603771,5.843496434,0.18946517,0.187332777
8099,66.63336553,-34.64929379,5.663844488,5.675515549,5.433244289,0.160568826,0.195576654
8099.5,85.35445222,-33.02616025,5.285016309,5.405594654,5.029563588,0.146067363,0.203507642
8100,91.92239277,-32.31331184,5.737450238,5.21891926,4.734662603,0.14206482,0.220013126
8100.5,85.73369059,-32.3575559,6.481369308,5.121110795,4.610785721,0.149307492,0.227096069
8101,80.98512959,-31.94053587,6.730987192,5.108102616,4.627806821,0.148172034,0.221974108
8101.5,86.53897008,-28.11211775,6.437283294,5.09791884,4.737841799,0.142323414,0.215438276
8102,92.43367645,-24.42312457,6.069269807,5.082651406,4.896438604,0.135519908,0.21555228
8102.5,96.91503638,-22.27075014,5.834148406,5.111639144,5.055697475,-999.25,0.223918199
8103,100.1005819,-17.74401212,5.853294771,5.199752259,5.180849561,-999.25,0.233035618
8103.5,99.78928514,-16.61150856,6.326100452,5.295409189,5.269413558,-999.25,0.235542927
8104,91.4199313,-29.7378902,7.229745463,5.336391302,5.323428561,-999.25,0.230432291
8104.5,89.06702316,-16.47477161,7.136092107,5.289842159,5.345826532,-999.25,0.222451376
8105,94.61964705,-22.36032416,6.328538953,5.226898193,5.34021845,-999.25,0.221084603
8105.5,98.35018589,-23.02970329,5.662562084,5.203180681,5.310682719,-999.25,0.230233862
8106,95.9749987,-16.21050257,5.346424577,5.212762584,5.261569408,-999.25,0.239871661
8106.5,95.88619465,-12.24134616,5.322430133,5.244481748,5.198481387,-999.25,0.242317439
8107,98.78727854,-10.73538863,5.482140824,5.293909821,5.160002991,-999.25,0.239722104
8107.5,101.1134204,-9.765881205,5.732733227,5.364226669,5.221702412,-999.25,0.235600114
8108,101.1270282,-8.205761893,5.975414156,5.459396141,5.467890656,-999.25,0.232849501
8108.5,100.7331555,-6.772014584,6.155163136,5.579728839,5.859583921,-999.25,0.231313256
