Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7926,101.332978,-2.909346999,5.316010961,4.365144996,4.098528681,0.030325399,0.29114446
7926.5,99.14960091,-2.930633722,5.675478945,4.171337279,3.9530288,0.020428957,0.28862069
7927,96.60658243,-2.939794095,5.406428361,3.949130301,3.7521456,0.028590451,0.294544419
7927.5,95.13869675,-3.027295967,4.962051217,3.741393264,3.587378995,0.045104275,0.307550479
7928,96.06805455,-3.279870185,4.733251496,3.588666805,3.516493106,0.060431022,0.323804958
7928.5,98.49947123,-3.498066538,4.175893684,3.52590074,3.498879241,0.07006313,0.338815172
7929,99.51024862,-3.195396943,3.945196639,3.590157317,3.487751817,0.075305432,0.348950867
7929.5,97.22288776,-2.56106674,4.443266414,3.806740035,3.492580662,0.077784378,0.354988962
7930,94.07227927,-1.963630561,4.690371245,4.007810267,3.528516355,0.078937803,0.357670498
7930.5,92.44013884,-1.709780252,4.730065399,4.140404012,3.607774683,0.079791828,0.348953033
7931,92.92906104,-1.633817003,4.735145843,4.324826404,3.725212244,0.080708044,0.32286146
7931.5,93.43398125,-1.415530057,4.843976298,4.526660999,3.85716252,0.081651349,0.315311349
7932,91.00718058,-1.043446795,5.006167309,4.643601279,3.975830241,0.082580315,0.316614497
7932.5,87.58451284,-0.708752378,5.131784441,4.655136126,4.050346885,0.083456387,0.307140976
7933,85.07816115,-0.495355917,5.189826508,4.570492423,4.067160488,0.084294479,0.296276159
7933.5,82.62752202,-0.427454502,5.16362755,4.461274003,4.046363355,0.085157137,0.294170547
7934,82.0335247,-0.528680885,5.040876784,4.41248021,4.011770451,0.086132472,0.294390923
7934.5,84.74391918,-0.819313423,4.857798726,4.506989221,3.979807825,0.087346421,0.29109101
7935,87.38992066,-1.270857822,4.726464741,4.71420879,3.961379874,0.088927756,0.285383535
7935.5,89.20391807,-1.81798731,4.756926468,4.824533427,3.96716683,0.090788031,0.280496812
7936,89.56500196,-2.394467927,4.981403435,4.862019668,4.008254074,0.092283891,0.278300664
7936.5,88.06375839,-2.937344701,5.245128456,4.882514403,4.095399547,0.092684646,0.276484479
7937,85.87454543,-3.409336325,5.425485468,4.941448637,4.222948857,0.091322949,0.272961776
