Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
7967,103.8811041,5.514117741,4.413874499,3.666109332,3.219409711,0.044728142,0.27598166
7967.5,97.94033365,5.464092918,4.716347798,3.659324816,3.292824549,0.038466298,0.268169217
7968,100.6337962,5.360689701,4.865288073,3.646703843,3.387835791,0.034847517,0.264295093
7968.5,104.718374,5.291219536,4.625342322,3.671344826,3.50343905,0.036724366,0.264787705
7969,103.1681822,5.323927755,3.972631598,3.778587168,3.638587798,0.039891025,0.270051344
7969.5,102.063858,5.517383287,3.901481177,4.003314788,3.785905861,0.042109882,0.279166058
7970,105.4453359,5.739401651,4.466715093,4.284626204,3.925402763,0.050048678,0.281456516
7970.5,108.2261317,5.696639473,5.234166535,4.508104609,4.032998398,0.055482832,0.273442722
7971,107.2822558,5.370240221,5.730034758,4.558374557,4.077610102,0.053834717,0.261358012
7971.5,103.4221419,4.946921673,5.685772331,4.440532701,3.944073763,0.047656996,0.252379275
7972,98.96597173,4.618077546,5.164836468,4.232060371,3.6796692,0.043859059,0.25216901
7972.5,99.62433215,4.546393387,4.714139893,4.155025482,3.449916976,0.045741051,0.26017148
7973,103.5100922,4.703214287,4.446133328,4.006692794,3.329136788,0.048269946,0.273318344
7973.5,105.9153951,5.042263685,4.206011206,3.735929285,3.208027781,0.049342035,0.28831749
7974,106.7681335,5.552601499,3.764495129,3.492102707,3.053752366,0.049803212,0.301695354
7974.5,107.4563329,6.048255291,3.650279235,3.333248136,2.915760618,0.049524985,0.310857414
7975,109.6218939,6.19837718,3.574746687,3.235782398,2.812792153,0.048251142,0.314825581
7975.5,114.6182593,6.110311397,3.63713561,3.177296329,2.744693558,0.047311987,0.313452749
7976,118.6395268,6.037333176,3.88167483,3.139300131,2.710392656,0.04822835,0.309227651
7976.5,120.522472,6.046642941,3.988634901,3.11434221,2.703654076,0.050691225,0.305184043
7977,120.0737023,6.051973846,3.86969552,3.102461645,2.717577926,0.052494302,0.303277811
7977.5,115.5473845,5.902131336,3.666056172,3.102944836,2.745721506,0.052494168,0.303551072
7978,109.1577675,5.687999178,3.54607668,3.110312793,2.782031722,0.052031322,0.303202806
7978.5,105.5480213,5.591674838,3.569022361,3.117711256,2.821080977,0.05276561,0.300759354
7979,105.4795477,5.78224061,3.758911108,3.118235758,2.85727405,0.055313434,0.298014257
7979.5,108.8910023,6.16942131,3.972181274,3.105007521,2.88473616,0.057846002,0.296365878
7980,114.1742092,6.425400982,4.014010705,3.072865921,2.897301028,0.058619803,0.294945735
7980.5,114.5721128,6.361224036,3.864588663,3.035445629,2.888389043,0.056656097,0.293342897
7981,111.8445328,6.080579771,3.626916096,3.010673359,2.852873215,0.051315206,0.296046536
7981.5,110.4900799,5.74278121,3.45331339,2.99495672,2.796176418,0.045361487,0.307573729
7982,111.7404662,5.507683041,3.393583701,2.981245774,2.728896702,0.04383399,0.319069695
7982.5,112.9510847,5.432666235,3.426435521,2.96483363,2.660984965,0.046667092,0.323144629
7983,113.0371958,5.460075491,3.516409877,2.947847335,2.601437182,0.047186848,0.321416965
7983.5,112.1479239,5.52614917,3.626782573,2.933660629,2.557481841,0.041530506,0.316198397
7984,110.2341439,5.567538309,3.696097888,2.925587504,2.535166427,0.043635576,0.31033431
7984.5,106.711945,5.559173601,3.614437948,2.926823037,2.540706185,0.053348619,0.30824578
7985,105.5317127,5.54408711,3.457953972,2.938431169,2.573776152,0.051193986,0.313057784
7985.5,108.1629555,5.54267569,3.451488552,2.95954109,2.614977622,0.050794941,0.324342175
7986,112.2781361,5.534484775,3.635694428,2.989446925,2.640689926,0.051621163,0.325192974
7986.5,111.2209344,5.498292673,3.734342119,3.03158865,2.626578711,0.048337731,0.311479536
7987,111.1418392,5.433841932,3.737305453,3.093892336,2.573379576,0.040769314,0.3065646
7987.5,111.6875531,5.352542885,3.785987611,3.177077142,2.585114261,0.033420293,0.300171914
7988,109.0869518,5.265931653,3.874356079,3.264235046,2.770061156,0.034010687,0.295923015
7988.5,110.1204942,5.185544353,3.936011033,3.33432668,2.927517748,0.039167842,0.294579126
7989,119.8321907,5.122917104,3.918231739,3.365510863,2.92497878,0.037668988,0.295628216
7989.5,123.4930732,5.089469399,3.887520037,3.361265634,2.901904093,0.033466843,0.29786048
7990,125.1652008,5.084493822,3.958816351,3.355999272,2.91209492,0.034599554,0.298656628
7990.5,124.3174389,5.084729293,4.154252901,3.386036466,2.945602444,0.038221298,0.295545144
7991,118.5559007,5.064040792,4.299645366,3.481333409,2.992783659,0.033179948,0.291620592
7991.5,113.0164622,4.932733467,4.379117527,3.570557238,3.059284494,0.0194603,0.291793628
