Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
7953,104.2603818,-0.035116082,3.3902954,3.170277338,2.821402127,0.06580659,0.350944307
7953.5,103.8062106,-0.553899146,3.519830251,3.161683259,2.852923519,0.075514337,0.353084684
7954,108.0377739,-1.141919978,3.662718677,3.156668972,2.889380202,0.07409475,0.350278257
7954.5,108.3194436,-1.532740198,3.678196159,3.148973263,2.914582548,0.057202277,0.341772239
7955,111.9256341,-1.68128928,3.694890054,3.132406196,2.911877499,0.044473969,0.338978721
7955.5,109.4039658,-1.576461281,3.654314988,3.103509945,2.87145135,0.040847483,0.34406152
7956,107.263996,-1.172145904,3.315306,3.066288736,2.804745504,0.043400031,0.354382977
7956.5,105.7791523,-0.701023587,3.272795707,3.025927235,2.727027721,0.049193701,0.365537068
7957,101.7361861,-0.7963626,3.29427173,2.987314383,2.652346122,0.053710927,0.372061261
7957.5,101.5250311,-1.35078801,3.297211688,2.954195495,2.593318468,0.054939041,0.368702077
7958,106.631228,-1.844042884,3.438138081,2.929493437,2.561471314,0.058797951,0.35861089
7958.5,108.5617155,-1.844227527,3.506751276,2.914531118,2.560778785,0.066328956,0.353664999
7959,109.9226391,-1.465976623,3.408545329,2.905608715,2.583510252,0.064695369,0.355369818
7959.5,112.421184,-1.024945256,3.278492994,2.898079519,2.62125078,0.065183182,0.36148299
7960,110.6728195,-0.836964335,3.285390036,2.890873511,2.665458416,0.07242884,0.36693139
7960.5,107.2183087,-1.061342167,3.363494888,2.90243749,2.707137927,0.069951064,0.362388077
7961,108.4208252,-1.399366505,3.349734634,2.949438334,2.740191192,0.064064617,0.356013926
7961.5,113.520608,-1.510872881,3.385978166,3.01226149,2.764678016,0.066404796,0.354266736
7962,115.5363956,-1.299107958,3.51873144,3.061593116,2.781444636,0.073620393,0.351176858
7962.5,116.5383064,-0.897961716,3.523781532,3.098674242,2.791916514,0.059075113,0.344320331
7963,118.660422,-0.685582356,3.532488973,3.147749314,2.809214262,0.056816721,0.339103372
7963.5,118.944191,-0.980938099,3.511440654,3.212824069,2.858938826,0.063014292,0.34102141
7964,117.2335957,-1.473297086,3.527123767,3.295449969,2.968983169,0.064434617,0.346055953
7964.5,114.8368344,-1.565405461,3.7162405,3.390661874,3.126471587,0.060169556,0.343258175
7965,112.0327632,-1.036938461,4.005177969,3.472118726,3.246955575,0.054067696,0.33411884
7965.5,108.3038023,-0.420793444,4.186583503,3.509550058,3.291818195,0.047027094,0.327929772
7966,106.0856515,-0.316451294,4.240388932,3.506995766,3.287294679,0.04566247,0.326520148
7966.5,108.4728053,-0.593410506,4.148252607,3.496182946,3.265487316,0.049677771,0.327693724
7967,108.5105523,-0.55803267,3.943765876,3.509595674,3.258566859,0.051094444,0.327892033
7967.5,108.3926307,-0.243036728,3.831022185,3.567751918,3.289156722,0.048231702,0.323502168
7968,112.7336253,0.163232002,3.960260382,3.65723035,3.351355775,0.051811429,0.314075985
7968.5,112.7348199,0.45968087,4.165242398,3.757779451,3.433776459,0.05764297,0.303102221
7969,111.1276663,0.476442035,4.195890228,3.847093705,3.52261337,0.055039036,0.297694811
7969.5,112.4263159,0.301857994,4.256578463,3.900838299,3.579922404,0.056645058,0.298982598
7970,111.1697183,0.131500135,4.448560214,3.899892802,3.55279134,0.063960943,0.301159564
7970.5,111.700516,-0.21259944,4.511952414,3.86884565,3.473699215,0.065229641,0.302291485
7971,111.0632885,-1.239194267,4.384452535,3.851286451,3.469380357,0.058080016,0.305315685
7971.5,109.9549848,-3.454561034,4.099737374,3.890425602,3.67372041,0.048884085,0.315247183
7972,109.487755,-6.430699833,3.925934037,4.064984046,4.068429811,0.041787764,0.332891148
7972.5,107.6278892,-8.360725797,4.44746422,4.556259869,4.359842929,0.037508146,0.351189003
7973,107.3492909,-9.134945865,5.278465995,4.93928977,4.532002283,-0.01009598,0.356673379
7973.5,103.7049215,-9.571349006,5.559027592,5.122799297,4.664107109,-0.078847894,0.33695364
7974,89.15111311,-9.621408132,6.169816976,5.281102093,4.890370224,-0.004677146,0.316004771
7974.5,85.2792004,-8.62819265,7.189988011,5.882440663,5.439130149,0.031717146,0.306598456
7975,78.68774165,-10.9137925,8.431495933,8.063930097,6.30298172,0.038323663,0.273110551
7975.5,67.33357606,-16.65534309,10.29371974,10.25621267,7.107635624,0.070799845,0.18520282
7976,57.53552967,-16.63970737,14.78029671,10.10440926,7.74835529,0.07997867,0.18183461
7976.5,54.57549422,-15.10356745,18.51752344,10.34340235,8.248418743,0.076511394,0.174840793
7977,58.15554473,-11.52281388,16.31170324,10.56632242,8.582106684,0.073744829,0.161466345
7977.5,59.21799048,-8.417429515,13.67902045,10.45025142,8.611324175,0.073561424,0.170260757
7978,63.62865569,-7.742924173,9.839563029,10.13347211,8.369184792,0.074268921,0.204475492
7978.5,78.93209856,-8.874625589,7.908107082,9.759091581,7.99602629,0.079346881,0.236236882
7979,78.67258523,-9.780014758,9.114549659,9.455206395,7.620087644,0.083839645,0.252217966
7979.5,79.96325905,-9.452555842,9.761687848,9.286108714,7.288015204,0.082225826,0.250096128
7980,77.31313876,-8.740458554,9.274546327,9.111027003,6.981746924,0.07703089,0.245019095
7980.5,77.65284421,-8.48239435,8.261744927,8.753939062,6.683781698,0.071380036,0.252352233
