Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7989,83.38498938,-3.714949516,5.910853395,4.613289378,4.556740687,0.094523085,0.267465214
7989.5,92.03947541,-3.51931563,5.813459637,4.637820059,4.614096425,0.093944262,0.259821643
7990,95.38992198,-2.959691157,5.664874437,4.673000658,4.636865359,0.093478629,0.257687526
7990.5,95.33970394,-2.253282845,5.476663795,4.705495324,4.588824562,0.090580454,0.259911905
7991,93.79219614,-1.617297441,5.38174779,4.713428167,4.530989566,0.086833958,0.262740335
7991.5,92.5281776,-1.268941694,5.328515227,4.675036094,4.539746015,0.087543022,0.264799897
7992,90.07225694,-1.424510067,5.308406495,4.572875843,4.579442114,0.090204608,0.265183153
7992.5,86.05787402,-2.08981581,5.32027414,4.440303234,4.542245747,0.090388611,0.264120857
7993,85.00954944,-2.792383697,5.298867734,4.349456978,4.447119999,0.089973022,0.271828615
7993.5,87.17587095,-2.993656435,5.218096537,4.368951229,4.370412402,0.09200246,0.279699842
7994,92.31501561,-2.249981217,5.177405004,4.520956739,4.298092636,0.092688289,0.271135399
7994.5,93.97251779,-0.890013691,5.254395305,4.674621993,4.158218878,0.087305788,0.265486838
7995,93.66174278,0.441264647,5.472413641,4.680453642,3.949311329,0.084568297,0.268707078
7995.5,86.61699496,1.479878712,5.826467133,4.636485707,3.787436496,0.086302656,0.277433819
7996,86.44860747,2.182177688,5.906120272,4.773797829,3.783286201,0.089556586,0.287366909
7996.5,88.62564827,2.621095962,5.351161877,4.986270716,3.903754055,0.090039198,0.293847854
7997,91.12470132,2.880676064,4.711929274,4.614051699,3.934376546,0.087160917,0.294690972
7997.5,94.94370483,3.044945558,4.393028492,3.643761863,3.856827152,0.082545199,0.292225664
7998,99.25621841,3.172481069,4.272839361,3.25442699,3.719800405,0.073368287,0.289249637
7998.5,103.0026451,3.244295745,4.198741548,3.271559825,3.639780497,0.067454715,0.288263866
7999,105.3766784,3.226679938,4.11856477,3.446259197,3.62600423,0.073011859,0.289502238
7999.5,105.7489298,3.085923997,4.060882965,3.561828527,3.591291089,0.07768257,0.292152807
8000,103.9402039,2.793119827,4.068795266,3.581272806,3.577156095,0.079809782,0.295397164
8000.5,101.5557006,2.423938209,4.180356322,3.579042476,3.586576488,0.081294471,0.298355133
8001,101.5682068,2.155474915,4.325965072,3.560750651,3.572142508,0.081647177,0.300044653
8001.5,101.2409387,2.168969149,4.345457236,3.50584401,3.483153003,0.078033015,0.299906013
8002,99.8821008,2.585041245,4.238939754,3.420737368,3.337275501,0.074541141,0.298677175
8002.5,98.7253147,3.32775962,4.166882225,3.338248934,3.221152732,0.076416663,0.297546846
8003,98.20758873,4.153988808,4.171516445,3.280172157,3.149942251,0.079800687,0.300814939
8003.5,98.71519137,4.706385162,4.213938732,3.203032322,3.09184457,0.081389437,0.307572883
8004,100.186293,4.699614124,4.176848907,3.063647429,3.026075628,0.080025522,0.312249016
8004.5,101.4648387,4.305927009,3.951853873,2.989911231,2.973584952,0.076331507,0.314669082
8005,102.3014345,3.867730866,3.739945552,2.97415534,2.968584422,0.074971136,0.315336218
8005.5,102.6056599,3.612684984,3.646816887,2.970215687,3.042883882,0.078479482,0.314404605
8006,102.4056632,3.510996469,3.693718303,2.995773256,3.125517328,0.083410069,0.304190074
8006.5,102.0154307,3.497915599,3.857284038,3.07347155,3.124341652,0.083750779,0.282398087
8007,102.3748359,3.508121183,3.993140501,3.204301778,3.096857192,0.07988705,0.271605353
8007.5,106.5200229,3.452040627,4.068515026,3.374213914,3.093422326,0.076105974,0.261126224
8008,107.634131,3.207366972,4.697137939,3.535510193,3.130126566,0.074965779,0.25491845
8008.5,101.5420979,2.676400588,4.933104985,3.560050214,3.181050417,0.074871043,0.207067758
8009,112.8534617,2.023570672,5.233531616,3.469770136,3.215229933,0.073833825,0.403415209
8009.5,88.33655647,1.56103847,3.177993014,3.339776478,3.218130224,0.072426428,0.079228132
8010,36.75329229,1.599168671,3.265460698,3.236608837,3.199222039,0.072973225,0.187579539
8010.5,140.5909517,2.166998181,3.056665902,3.169873933,3.165188555,0.076473102,0.324595373
8011,131.6386033,2.808568383,3.049208894,3.111854431,3.114047789,0.08005568,0.320967741
8011.5,79.20428563,3.01990547,3.182303765,3.067391851,3.04686974,0.082032369,0.324599148
8012,76.93951279,2.416454111,3.3763393,3.050463808,3.0121955,0.082481996,0.315542876
8012.5,96.8816013,1.373177825,3.602507281,3.071453538,3.042420258,0.081541447,0.311412946
8013,109.5235567,0.561532813,3.86654811,3.110498022,3.087240189,0.078896363,0.310770578
8013.5,104.9635965,0.398183317,4.177887596,3.13248756,3.098226754,0.073585745,0.312038613
8014,102.3593619,0.71904351,4.202039327,3.129165653,3.087007087,0.065410245,0.315401157
8014.5,102.1905442,1.279759273,4.222961555,3.126344459,3.084967512,0.059450422,0.320590709
8015,102.1590112,1.835976484,3.791406531,3.128245387,3.118036171,0.064693333,0.32147607
8015.5,102.1642575,2.144087191,3.873506829,3.128330693,3.163217076,0.07263967,0.317159459
8016,102.1666721,2.083984093,4.011960297,3.123954863,3.176294932,0.078371886,0.313822832
