Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),CNCF (dec)
8061,106.273033,-3.582005646,2.859564867,3.244377352,2.984331923,0.084528919,0.326275157
8061.5,108.22163,-4.907825799,3.099860182,3.257697918,2.940303694,0.082712078,0.328136149
8062,107.7044104,-5.131868998,3.282304024,3.286522786,2.922235047,0.080656357,0.317206524
8062.5,104.8257188,-4.646656875,3.540386243,3.268552193,2.918099965,0.076797119,0.306619499
8063,99.85801353,-3.844711061,3.791857259,3.195520669,2.916317685,0.071631327,0.301979558
8063.5,95.96762283,-3.118553187,3.468996453,3.106978332,2.90903993,0.06860661,0.302452083
8064,98.7595011,-2.860704884,2.934998247,3.035559988,2.896067374,0.068258033,0.307139313
8064.5,109.8594303,-3.346011892,2.765835811,2.984052775,2.878178093,0.069517038,0.315005606
8065,110.0641112,-4.079341503,2.834043123,2.946807761,2.856160344,0.071303287,0.323073237
8065.5,106.1741339,-4.397448244,3.035515283,2.918668294,2.83080088,0.07254791,0.326205219
8066,105.852562,-4.32828899,3.267421803,2.894778318,2.802915155,0.072742358,0.321120629
8066.5,104.9240147,-4.11105748,3.423881724,2.871300782,2.773680939,0.072180224,0.314479219
8067,102.4725244,-3.965217938,3.440458796,2.848530422,2.744445956,0.071244191,0.312750277
8067.5,102.5238622,-3.956373451,3.291147925,2.827963885,2.716505441,0.07048829,0.316327389
8068,109.4886228,-4.078048923,3.082440091,2.811057657,2.691102719,0.070532869,0.321536919
8068.5,109.4911245,-4.323356858,2.94701548,2.799243117,2.669438102,0.071998217,0.324912202
8069,106.1673217,-4.671437634,2.982903479,2.793949354,2.652683303,0.075064183,0.327555562
8069.5,103.8144545,-5.045783367,3.13439706,2.796633517,2.642001171,0.078540997,0.331539835
8070,104.2901741,-5.356033911,3.242111625,2.808822727,2.638488976,0.08097343,0.336600077
8070.5,106.9659471,-5.51182912,3.191199326,2.832376166,2.642008805,0.081180495,0.341255643
8071,108.9316762,-5.422808848,3.074485069,2.86968041,2.651459579,0.079340991,0.343826973
8071.5,109.2879378,-5.001096626,3.018296905,2.923444242,2.665741455,0.076054386,0.342501073
8072,107.5817698,-4.321508439,3.089391568,2.996786645,2.683760753,0.071920269,0.336617378
8072.5,104.6322049,-3.719225888,3.242890856,3.087632037,2.704411774,0.067514266,0.330668965
8073,102.0850902,-3.539962345,3.415062322,3.17825711,2.726563265,0.063267204,0.326235415
8073.5,101.5991104,-3.843493907,3.529639985,3.25095448,2.74904958,0.059555805,0.322798471
