Depth,GR (GAPI),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8063,110.1597913,5.822137252,6.67639335,6.175320293,0.114106894,0.239358852
8063.5,92.39075619,5.659899057,6.726500922,6.293051499,0.112846552,0.24198123
8064,86.01171828,5.518930226,6.758189389,6.390424909,0.112738201,0.248226083
8064.5,86.76569793,5.418654142,6.764853123,6.46068917,0.110368589,0.259367329
8065,90.39571556,5.357402012,6.739278115,6.49715862,0.107071268,0.262970454
8065.5,92.64502919,5.332766672,6.675170659,6.493660842,0.105151578,0.259872278
8066,91.17487765,5.355554908,6.576195781,6.446421357,0.106781517,0.253861401
8066.5,89.50568334,5.42436786,6.455260677,6.366478593,0.108358786,0.24764665
8067,88.79854224,5.456361914,6.325109102,6.272088391,0.10715604,0.242990128
8067.5,88.96695253,5.39805806,6.197634198,6.180766601,0.105777542,0.242866584
8068,90.09011871,5.363355199,6.083815507,6.109065745,0.105185879,0.245585177
8068.5,91.6155608,5.465425762,5.99221414,6.072877621,0.105633608,0.247114672
8069,91.40665508,5.600909746,5.920265803,6.082051233,0.10662654,0.244430594
8069.5,89.51454568,5.649227658,5.861384663,6.085043591,0.107362619,0.241918027
8070,89.34155596,5.628449701,5.809329675,6.005747147,0.10704496,0.245497895
8070.5,92.2692561,5.572298043,5.758074004,5.846531517,0.105494343,0.253426478
8071,94.00870775,5.514451809,5.698872616,5.642845372,0.103247204,0.253058742
8071.5,94.72880724,5.487434382,5.618524398,5.427696696,0.100879981,0.253387903
8072,95.12421312,5.492638458,5.50430809,5.229973918,0.098969656,0.257414503
8072.5,95.65144402,5.441424776,5.351025857,5.070440229,0.098099006,0.263379789
8073,96.73893428,5.327530617,5.185572973,4.945651684,0.098854329,0.267497353
8073.5,98.31702027,5.180336816,5.04024579,4.845625968,0.101821973,0.271269277
8074,99.55070686,5.033583963,4.921086333,4.762064341,0.106270692,0.276799472
8074.5,99.72295187,4.928178714,4.817977225,4.688520973,0.104865318,0.283366697
8075,99.86058643,4.865263006,4.721428728,4.619129334,0.096407903,0.287737791
8075.5,100.7457166,4.793353504,4.622720856,4.548377049,0.090262989,0.288394592
8076,100.70602,4.662542915,4.516293316,4.471088804,0.08992377,0.287310063
8076.5,99.53754756,4.545694929,4.404313187,4.38249287,0.092961648,0.286849937
8077,98.15453217,4.568941276,4.290125302,4.282684461,0.096765812,0.288459237
8077.5,97.64514542,4.615307724,4.177203507,4.18138911,0.099292881,0.291723476
8078,99.11713366,4.533920052,4.073094967,4.088744375,0.099588661,0.296019941
8078.5,102.1134761,4.316435755,3.987236413,4.014019043,0.098905561,0.300978533
8079,102.5674093,4.215912684,3.928414493,3.965850057,0.099036027,0.306432862
8079.5,100.7321304,4.181417787,3.905258697,3.946614138,0.101128703,0.312130393
8080,99.95931887,4.066000043,3.926664228,3.948289681,0.10366602,0.317342014
8080.5,101.4668209,3.964357338,3.990503117,3.96216137,0.105042069,0.321184173
8081,103.4589902,3.959474682,4.079189482,3.979577472,0.105472622,0.322710485
8081.5,103.9199807,4.064068289,4.1730728,3.992122209,0.10551665,0.320851214
8082,101.4177048,4.291293348,4.250768181,4.005890393,0.105481123,0.314522243
8082.5,97.31592717,4.650807342,4.289451677,4.046923205,0.104862951,0.30394531
8083,94.67959165,5.017517783,4.268127654,4.142658956,0.102996598,0.297133313
8083.5,96.88380711,5.013580928,4.246673093,4.311292085,0.099232761,0.300093439
8084,100.9783506,4.713074014,4.389265047,4.569400782,0.094048495,0.300739356
8084.5,102.3610627,4.402244028,4.749342854,4.94058449,0.089760626,0.291896261
8085,99.3055144,4.476386117,5.247830084,5.441615268,0.088660494,0.275652525
8085.5,92.0862232,4.974044878,5.756690307,5.848488183,0.091023563,0.252658845
8086,85.63591259,5.703825946,6.074336389,5.768701538,0.095935912,0.227778094
8086.5,78.325461,9.308611357,6.042382245,5.356487263,0.101620003,0.211424258
8087,75.0724848,10.87511798,5.647101185,5.011571161,0.105263951,0.204391893
8087.5,81.05811736,8.033038677,5.078937641,4.87103766,0.106941363,0.255255784
8088,94.27124944,5.920254801,4.611138351,4.631297422,0.107090352,0.292914662
8088.5,109.2689245,4.779857697,4.306521814,4.309020839,0.106135918,0.313722487
8089,111.8093331,4.126042939,4.119026012,4.010454995,0.104199144,0.333295703
8089.5,108.7508777,3.855226965,4.014794019,3.788642403,0.101104994,0.33215063
8090,107.1415998,3.88189002,3.968889633,3.641334217,0.097796065,0.326419096
8090.5,104.3514983,4.047286704,3.960552939,3.556937074,0.096995984,0.317413233
8091,102.0264496,4.193266437,3.970855464,3.517728555,0.097880395,0.311843552
8091.5,103.4640103,4.195317566,3.984147629,3.508103998,0.097659349,0.311559353
8092,106.8668483,4.061964568,3.987351856,3.513662794,0.094098274,0.314378762
8092.5,110.4667003,3.881843206,3.967514872,3.518707183,0.090226263,0.318145111
8093,113.1026479,3.77884499,3.919722603,3.501317058,0.091572986,0.321352531
8093.5,113.662376,3.759864376,3.859188015,3.462109006,0.095557125,0.323140356
8094,111.1669181,3.817502586,3.803607869,3.414884549,0.096876985,0.322676132
8094.5,108.2082006,3.935392097,3.769500915,3.37299754,0.097456014,0.320011247
8095,107.0327476,3.976494916,3.762044589,3.349187454,0.097523241,0.317837229
8095.5,105.2854353,3.900166913,3.771184692,3.353744887,0.096991711,0.316493116
8096,102.8513968,3.986058232,3.785903312,3.382605936,0.09579152,0.310466578
8096.5,100.9257346,4.269298686,3.796787975,3.426091718,0.094380494,0.301275971
8097,100.6762308,4.391139381,3.801673403,3.474290309,0.093777444,0.301579156
8097.5,102.5201428,4.135582847,3.80039966,3.516787381,0.094077027,0.312561097
8098,105.9061266,3.868389771,3.792860837,3.542717633,0.094901784,0.323758446
8098.5,109.5186496,3.796773219,3.783947896,3.549016809,0.096274159,0.329008644
8099,111.7942266,3.832683724,3.789518197,3.550964298,0.098241811,0.325575706
8099.5,111.2438361,3.916589916,3.826095531,3.566510695,0.100218916,0.318036964
8100,110.0463238,3.99294751,3.893190253,3.614031123,0.099420123,0.312617933
8100.5,110.8388183,4.00335239,3.97523623,3.706167245,0.095373313,0.31355044
8101,112.3786132,3.956327232,4.05423173,3.831829595,0.090347249,0.317798133
8101.5,113.1379534,3.970425135,4.095991012,3.969072691,0.086721673,0.320039245
8102,112.1974522,4.176605559,4.093723675,4.082195622,0.086615352,0.315579289
8102.5,110.991801,4.505004821,4.090699517,4.139151932,0.090057569,0.308607443
8103,110.9189967,4.524707829,4.108802114,4.153578695,0.096070348,0.307963369
8103.5,112.3333625,4.331394608,4.148097035,4.155577918,0.100417301,0.311794061
8104,113.8313042,4.233382127,4.20817025,4.175822721,0.09797464,0.314269617
8104.5,114.362442,4.25770303,4.288872015,4.240280058,0.094166058,0.315382802
8105,113.7942303,4.35350449,4.390901862,4.36270751,0.091182072,0.3170992
8105.5,112.0400414,4.48248682,4.523086195,4.524709092,0.089978086,0.315707178
8106,109.5896636,4.624491293,4.697660622,4.654541168,0.095721638,0.30428643
8106.5,108.4147972,4.758841648,4.899678109,4.756343901,0.10549287,0.296456364
8107,108.2941968,4.822515998,5.096729725,4.878809584,0.110666593,0.29474953
8107.5,108.259715,4.70675786,5.264837912,5.038768392,0.096547489,0.291600889
8108,107.9453451,4.533568305,5.414182443,5.218383087,0.062165094,0.297007894
8108.5,107.4560764,4.511901227,5.562783233,5.395797456,0.029052819,0.331518457
8109,109.9428759,4.577807407,5.730005499,5.546136177,0.008989525,0.352816526
8109.5,114.9561071,4.621053825,5.935330152,5.661247721,0.004032255,0.345148754
8110,110.6767718,5.088853955,6.199108035,5.807978617,0.024762647,0.327115582
8110.5,85.7524623,5.889775851,6.50503978,6.077168417,0.0262113,0.317554009
8111,62.75539298,6.868576263,6.791501708,6.461506021,0.070219921,0.270765175
8111.5,51.18259108,8.720618873,6.968426185,6.784314265,0.183435098,0.218258744
8112,44.86370044,10.2647659,6.932287741,6.828328695,0.226823464,0.196289766
8112.5,39.96251948,11.14218708,6.68646657,6.570996125,0.238239047,0.190612175
8113,36.4582472,12.3504058,6.367304943,6.249409523,0.237839028,0.186584874
8113.5,34.72906476,12.84644107,6.084337584,5.99583917,0.237557636,0.181674296
8114,34.37750281,12.06200189,5.877814656,5.832891178,0.236883696,0.18065793
8114.5,34.37777314,11.16409026,5.77482044,5.779093051,0.233234988,0.18429681
