Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
7976.5,94.66454531,-6.206914411,4.182038833,3.957670854,4.075921119,0.061570207,0.256159683
7977,97.21930102,-5.836307223,4.178169262,3.93933844,4.088616804,0.057903254,0.25608519
7977.5,97.18767002,-5.478696324,4.216266641,3.924389445,4.09439739,0.053909198,0.257655963
7978,96.45225456,-5.134173133,4.220981996,3.897748173,4.072202772,0.049881328,0.261879055
7978.5,96.39732788,-4.825654287,4.035324798,3.849690419,4.011348031,0.046235202,0.268505438
7979,96.58105183,-4.594448571,3.897614833,3.785257558,3.93000045,0.045546493,0.275743179
7979.5,96.18815249,-4.534667777,4.016476178,3.711957397,3.850405574,0.048199302,0.281343474
7980,95.53376164,-4.619280097,4.19739291,3.636639566,3.79316984,0.052032738,0.284178656
7980.5,96.02154086,-4.527250805,4.217586024,3.56226291,3.769790238,0.05498092,0.283975978
7981,97.38423159,-4.016318783,4.067461642,3.489052966,3.756927109,0.056592629,0.282385418
7981.5,98.35449282,-3.369234598,3.832221326,3.41715648,3.722452498,0.057218559,0.281583503
7982,98.40232035,-2.966778501,3.65613918,3.346727231,3.636792592,0.056605462,0.283655768
7982.5,97.4795736,-2.769492207,3.666757233,3.277961503,3.502121151,0.054242131,0.288301902
7983,96.8227124,-2.516631068,3.833244115,3.211047536,3.350745435,0.049849587,0.292660799
7983.5,96.97728274,-2.07403886,3.966501502,3.146134705,3.2121885,0.046067537,0.293981275
7984,97.53018908,-1.599261265,3.910172262,3.083063006,3.111153609,0.045003459,0.292705501
7984.5,98.44273293,-1.290067403,3.770966183,3.021468245,3.053941822,0.045124852,0.291572002
7985,99.78932489,-1.283827689,3.688301301,2.962613806,3.023924591,0.045217979,0.293024905
7985.5,101.4738812,-1.484931637,3.548066923,2.921270661,3.004178698,0.048188596,0.296649026
7986,103.2460816,-1.741600774,3.29745781,2.918510549,2.990114538,0.054724999,0.300615033
7986.5,104.5010319,-1.902056625,3.245192193,2.971221892,3.006034621,0.058006726,0.303083534
7987,104.5675111,-1.863690035,3.415483962,3.069881984,3.07382911,0.056520363,0.302224962
7987.5,102.9104289,-1.817097272,3.588968458,3.195078907,3.179206196,0.052886288,0.296817827
7988,99.13344442,-2.061105267,3.64900626,3.32337332,3.29491183,0.04890619,0.288980927
7988.5,93.78561334,-2.894696053,3.641404669,3.421909573,3.39458282,0.045311279,0.284617709
7989,88.88701254,-4.358200495,3.720256819,3.458515814,3.464424858,0.043051604,0.278873744
7989.5,85.84049598,-5.579382307,4.105704214,3.439376363,3.502617001,0.043755189,0.272356893
7990,85.84825365,-5.635850779,4.78625591,3.38958344,3.501766626,0.04486334,0.269078022
7990.5,89.22335408,-4.712111464,4.747459902,3.331649391,3.442483464,0.044905495,0.271991302
7991,93.83110571,-3.485242898,4.112467175,3.274518304,3.329179849,0.052129897,0.282415751
7991.5,97.90544082,-2.62915117,3.465637173,3.222888273,3.182832546,0.065440317,0.297991072
7992,102.0450733,-2.421234333,3.163824535,3.178252044,3.026851134,0.065009555,0.308319953
7992.5,104.9753747,-2.479405661,3.233227359,3.138312009,2.8918124,0.058380866,0.30953236
7993,104.6806621,-2.400034461,3.497095007,3.100657222,2.803946911,0.055428524,0.306457528
7993.5,102.2511794,-2.123711572,3.760899766,3.062995848,2.763541465,0.054790204,0.304311304
7994,101.9851482,-1.763828544,3.775727121,3.023799396,2.751480924,0.05185344,0.306623875
7994.5,103.8884907,-1.434706677,3.508003265,2.984605425,2.74953341,0.046291616,0.313444288
7995,106.1416888,-1.208973106,3.263446924,2.947309652,2.739877353,0.044580834,0.32216009
7995.5,108.5971162,-1.079950733,3.180191072,2.909801534,2.705804881,0.047581899,0.329660438
7996,111.1353528,-1.032080009,3.196451862,2.868106425,2.654003822,0.053015334,0.333081865
7996.5,111.8136236,-1.049801385,3.239187721,2.821883871,2.611909451,0.053110283,0.330878488
7997,110.3984443,-1.117555311,3.330513379,2.7741996,2.584006884,0.04945011,0.327408946
7997.5,107.660527,-1.220073899,3.466867302,2.72807601,2.56635551,0.050429379,0.328675611
7998,104.8479092,-1.348104903,3.517930248,2.686339601,2.555252205,0.052827083,0.334605501
7998.5,103.3273605,-1.498050421,3.381543287,2.651123635,2.547127756,0.054038866,0.337264956
7999,102.5572021,-1.666531858,3.264698029,2.622673678,2.538480829,0.054109688,0.334953375
7999.5,101.851734,-1.849547706,3.246909429,2.600878727,2.52654072,0.048964752,0.332916997
8000,100.7281812,-2.015728509,3.332196791,2.585674644,2.513216381,0.038783972,0.335262695
8000.5,99.88551206,-2.096213619,3.413819605,2.577044631,2.502307831,0.036692786,0.339271688
8001,100.701733,-2.022916175,3.410752541,2.57484696,2.497560965,0.039685654,0.340332316
8001.5,104.4444113,-1.803760312,3.375583203,2.576808261,2.50272512,0.044343463,0.337791385
8002,109.9396247,-1.520454626,3.330207986,2.579188083,2.51956516,0.047346979,0.335964744
8002.5,113.8137738,-1.257746717,3.269011677,2.57821025,2.542829628,0.047539924,0.339092084
8003,113.1094732,-1.10038073,3.192619757,2.571876636,2.565618895,0.045856859,0.344213433
8003.5,108.4706761,-1.107382504,3.138444988,2.570025889,2.58082799,0.043312579,0.342047166
8004,105.0442912,-1.250240629,3.112172383,2.58738062,2.585033018,0.040610331,0.326570991
8004.5,104.3674179,-1.481836108,3.130978553,2.638987333,2.582458536,0.037971445,0.323465499
8005,105.9512924,-1.755049944,3.301301604,2.718172275,2.578288121,0.035575911,0.331991887
8005.5,108.2619941,-2.022763143,3.580969555,2.780303001,2.577691656,0.033654047,0.329134171
8006,108.6079061,-2.245670567,3.653463081,2.792799233,2.585699883,0.033532346,0.32034933
8006.5,109.3908475,-2.420433908,3.440199119,2.778621071,2.603628289,0.037422342,0.314996056
8007,112.4788348,-2.554056712,3.184626801,2.771476709,2.628768053,0.044966435,0.315235824
8007.5,116.3071313,-2.653543446,3.093856856,2.802190331,2.65817041,0.053503785,0.322871649
