Depth (ft),GR (GAPI),SP (MV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
7940,94.55889353,-4.188202862,3.934557116,4.176272202,4.04258088,0.11335547,0.251195533
7940.5,98.40735882,-4.011675684,3.867354193,4.119935408,3.963928591,0.106861041,0.253652985
7941,100.7415839,-3.129008213,3.831906511,4.036241638,3.881532322,0.098709734,0.259315314
7941.5,101.2023915,-1.248126393,3.822718392,3.937399807,3.792110351,0.09205167,0.265760912
7942,100.4577663,0.621077079,3.834848501,3.834965229,3.695363854,0.088859925,0.270827049
7942.5,99.51307891,1.281504088,3.860893654,3.739441072,3.59462828,0.090076178,0.272783538
7943,100.5987936,1.061419621,3.890342378,3.658021151,3.493206296,0.09344038,0.27147592
7943.5,104.8153292,0.526276521,3.912208462,3.590455198,3.39407063,0.096067793,0.268101174
7944,102.3439516,0.199066278,3.91052445,3.535316969,3.300660181,0.095108871,0.263950863
7944.5,99.04121058,0.197837442,3.865653394,3.491359061,3.221643487,0.090696621,0.260596308
7945,98.47102049,0.416128395,3.785390264,3.457480575,3.167369133,0.086738141,0.259706701
7945.5,99.45130118,0.7450871,3.688084212,3.433056489,3.14447117,0.083878984,0.262870058
7946,99.8441542,1.087647946,3.606178583,3.422792188,3.148862613,0.082150544,0.269354803
7946.5,101.2226786,1.409411655,3.581082543,3.435487115,3.174848506,0.082190304,0.275849635
7947,105.1661883,1.696724378,3.655123952,3.480542372,3.217077639,0.085644982,0.279270958
7947.5,108.6093081,1.935938039,3.873288226,3.567611487,3.27020787,0.090544353,0.2772294
7948,109.7915123,2.099280312,4.1148674,3.683350346,3.328668149,0.093759298,0.271703754
7948.5,108.1478611,2.115547546,4.141406515,3.786623561,3.386521798,0.092349705,0.267407319
7949,104.4855097,1.905217457,3.933032887,3.830968621,3.438854571,0.08699093,0.269044885
7949.5,103.0762218,1.443462067,3.780857607,3.79649821,3.483710105,0.081607286,0.274575587
7950,104.3801251,0.902763219,3.969426067,3.71396346,3.519528944,0.080066314,0.27063646
7950.5,101.2954703,0.480719665,4.363669381,3.618084213,3.543911968,0.081911046,0.262081631
7951,95.47513546,0.203052092,4.43166101,3.525155743,3.551080044,0.08216383,0.258996885
7951.5,93.6628896,0.005555786,4.239273511,3.436193959,3.534564389,0.078493694,0.258952985
7952,96.01370594,-0.108900527,4.010266204,3.351636041,3.488413671,0.074868725,0.259053794
7952.5,95.08946754,0.081143521,3.888157576,3.271959471,3.408019169,0.074152451,0.257981319
7953,95.52278354,0.705279604,3.729838982,3.200530357,3.301998177,0.075844087,0.260571844
7953.5,97.10368347,1.556646667,3.506775026,3.143931968,3.192654303,0.079109619,0.274145449
7954,106.6148767,2.377265629,3.355443617,3.108598495,3.100555596,0.083114999,0.293196715
7954.5,113.4763874,2.936739472,3.292764099,3.099480863,3.04405155,0.086999026,0.306329673
